"ESTABLISHMENT NAME","ESTABLISHMENT ADDRESS","INSPECTION DATE","DEMERITS","LINK"
"NANAS DAYCARE LEARNING","16148 SH 16 N SAN ANTONIO, TX 78023","1/2/12","6","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=166692&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"NINAS FLEA MARKET","700 DIVISION San Antonio, TX 782112524","1/2/12","0","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=126304&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"PAPA MURPHY'S","1160 N FM 1604 W San Antonio, TX 782480","1/2/12","6","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=91920&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"PARKLANE WEST HEALTHCARE CENTER","2 TOWERS PARK LN San Antonio, TX 782090","1/2/12","0","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=105918&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"PARTY CITY #","23026 US 281 N San Antonio, TX 782590","1/2/12","4","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=256225&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"PATTYS CAKES","5914 ZANGS DR San Antonio, TX 782380","1/2/12","0","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=229828&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"PICO #10 #","25284 IH 10 W Bexar County, TX 780150","1/2/12","3","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=250026&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"PIZZA HUT #","17539 BLANCO RD San Antonio, TX 782481016","1/2/12","3","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=91918&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"POTRANCO CAFE","2216 FLORES ST S San Antonio, TX 782042215","1/2/12","9","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=126301&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"RAMADA LIMITED","7043 CULEBRA RD San Antonio, TX 782380","1/2/12","3","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=229827&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"RED LOBSTER #6362","4550 LOOP 410 NW San Antonio, TX 782285169","1/2/12","6","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=179182&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"SABROSITOS","1802 HILDEBRAND W San Antonio, TX 782014357","1/2/12","6","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=130692&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"SAM RAYBURN MIDDLE SCHOOL","1400 CEDARHURST DR San Antonio, TX 782274746","1/2/12","0","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=128479&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"SCHLOTZSKYS DELI","2514 NACOGDOCHES RD San Antonio, TX 782176025","1/2/12","20","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=256232&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"SONIC RESTAURANTS OF SAN ANTONIO #2970","4319 NEW BRNFLS S San Antonio, TX 782232101","1/2/12","0","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=126303&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"T G I FRIDAY'S #","18039 IH 10 W San Antonio, TX 782570","1/2/12","0","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=250027&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"TAQUERIA RIVERA","1746 POPLAR ST W San Antonio, TX 782071239","1/2/12","12","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=152435&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"TEXAS LAND & CATTLE #","201 ST MARYS N San Antonio, TX 782052310","1/2/12","22","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=131937&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"THE EARL OF SANDWICH","1160 N FM 1604 W San Antonio, TX 782480","1/2/12","6","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=91919&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"VALERO CORNER STORE #1019 #","15720 US 281 N San Antonio, TX 782320","1/2/12","3","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=256221&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"WHATABURGER #749","18330 BLANCO RD SAN ANTONIO, TX 78258","1/2/12","9","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=91917&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"WINGSTOP #","2911 WEST AV San Antonio, TX 782012243","1/2/12","3","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=130695&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"WINGSTOP RESTAURANT #","502 EMBASSY OAKS San Antonio, TX 782162070","1/2/12","4","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=256238&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"YOGURTZONE","11620 BANDERA RD San Antonio, TX 782490","1/2/12","15","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=166696&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"AL VERDE FRUITS & VEGETABLES","1500 ZARZAMORA ST S SAN ANTONIO, TX 782077210","1/3/12","0","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=256264&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"AMERICAN DISCOUNT CHANNEL","139 COMMERCE ST E SAN ANTONIO, TX 78205","1/3/12","12","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=131942&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"AUTOZONE #5770 DEPARTMENT 8190","1035 GEN MCMULLEN S San Antonio, TX 782370","1/3/12","0","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=256265&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"BEST MART","703 MISSION RD San Antonio, TX 782104526","1/3/12","3","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=126311&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"BIG APPLE BAGEL","19178 BLANCO RD San Antonio, TX 782580","1/3/12","0","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=91922&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
